Date,CDOM-Concentration-Of-Colored-Dissolved-Organic-Matter,Chlorophyll,CO2-Partial-Pressure-Sea-Water,Currents-Eastward-Sea-Water-Velocity,Currents-Northward-Sea-Water-Velocity,Dissolved-Oxygen-InstrFrame,Dissolved-Oxygen-Seafloor,pH,Salinity,Temperature-Sea-Surface,Temperature-Water-InstrFrame,Water-Temperature-Seafloor
2015-03-30,2.8660189702611096,1.1351811855675924,900.1942317395168,-0.2120835564807693,0.4977365141807691,328.2289116673026,156.1301422119286,8.047504901325,33.451047003762966,12.03393069352327,11.571079544324071,8.521132685292592
2015-04-06,2.7352012346003445,1.0188160809296485,884.3218400879872,0.0250060493748511,0.0508324003857142,324.9597085973939,157.6942202176654,8.025472204579643,33.34566074378989,11.92156012266426,11.842406460281945,8.779029618298662
2015-04-13,2.7016220100708264,0.8755471703014877,894.1691651635589,-0.1161134099348214,-0.1761311253538691,326.9269313667185,160.06715133954717,7.980060692404166,33.44353908348748,11.667973711282642,11.482925708611926,8.469216761978126
2015-04-20,3.402595683331096,8.672331797711506,,0.0560357729642857,-0.2133871166043156,369.1735894555578,,,33.90885440288899,10.62451111040421,10.314322026735807,6.906021389455051
2015-04-27,3.66862383385952,7.033533079089359,,0.0380860736555059,-0.2058697473483632,396.6208057069808,,,33.81174725001844,11.429521416445366,10.98986468309794,7.437731823243608
2015-05-04,3.434972555397062,4.471682825054612,,-0.1138889446127977,-0.2323697565081846,408.2102274515433,,,33.83118168188961,12.18361398414264,11.841638386148617,7.287269971043161
2015-05-11,3.601699315698398,6.63702253440696,,-0.0881837041543155,-0.2394962431705357,404.1495075214477,,,33.87375106821872,11.70185985787795,11.093267766346806,7.092340688504764
2015-05-18,3.42793210383077,1.782569653665175,,-0.0881324701997024,-0.0740810001477679,360.26640442503685,,,33.86633743255073,12.24423269343928,11.759676042910794,7.150980095250599
2015-05-25,3.4167675280360448,4.6858085637634765,,-0.0411427338035714,0.0023189984665178,370.60043952782905,,,33.84546150318541,12.526252883293106,11.802271232506394,7.239757636904764
2015-06-01,3.402131690297652,5.039420787941149,,-0.083495198792113,-0.0527304753407738,356.34853474910733,,,33.81413073795996,12.993577337320511,12.657471639553147,7.379553995809685
